Algorithm,x86-64 from clang,WASM from clang,WASM from emcc,asm.js from emcc
2mm,14480,35886,38933,66535
3mm,14480,36205,39087,66884
adi,14480,36526,39514,67815
atax,14488,35369,38587,66056
bicg,14488,35587,38692,66361
cholesky,14496,35653,38864,66522
correlation,14488,35795,38956,66561
covariance,14480,35495,38739,66113
deriche,14480,36026,39071,67150
doitgen,14480,35488,38723,66193
durbin,14488,35145,38467,65509
fdtd-2d,14480,36213,39188,67086
floyd-warshall,14480,35130,38383,65737
gemm,14480,35479,38720,66089
gemver,14480,36074,38926,66360
gesummv,14480,35454,38608,65789
gramschmidt,14496,35819,38960,66617
heat-3d,14480,35671,38952,67184
jacobi-1d,14480,35096,38415,65398
jacobi-2d,14480,35387,38663,65941
lu,14488,35659,38848,66505
ludcmp,14488,36206,39215,67411
mvt,14480,35678,38785,66124
nussinov,14488,35282,38614,65881
seidel-2d,14480,35189,38531,65998
symm,14480,35724,38899,66335
syr2k,14480,35495,38727,66081
syrk,14480,35311,38630,65900
trisolv,14480,35228,38527,65690
trmm,14480,35401,38674,65953
